"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Edge Agent should be notified when Cloud Agent revokes a credential","41089","Revoke one verifiable credential","","Sun Jun 22 12:19:50 UTC 2025","passed","Sun Jun 22 12:20:31 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7899","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Sun Jun 22 12:12:04 UTC 2025","passed","Sun Jun 22 12:12:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7839","Create connection: [label=null; goalCode=null; goal=null]","","Sun Jun 22 12:12:43 UTC 2025","passed","Sun Jun 22 12:12:51 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7822","Create connection: [label=null; goalCode=automation; goal=null]","","Sun Jun 22 12:12:27 UTC 2025","passed","Sun Jun 22 12:12:35 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","36118","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Sun Jun 22 12:14:41 UTC 2025","passed","Sun Jun 22 12:15:17 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","27534","Receive one anonymous credential","","Sun Jun 22 12:15:17 UTC 2025","passed","Sun Jun 22 12:15:45 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45374","Wrong SD+JWT presentation","","Sun Jun 22 12:24:00 UTC 2025","passed","Sun Jun 22 12:24:45 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27547","Receive multiple verifiable credentials at once","","Sun Jun 22 12:19:23 UTC 2025","passed","Sun Jun 22 12:19:50 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27299","Receive multiple verifiable credentials at once","","Sun Jun 22 12:17:43 UTC 2025","passed","Sun Jun 22 12:18:11 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","44813","Receive multiple verifiable credentials sequentially","","Sun Jun 22 12:16:58 UTC 2025","passed","Sun Jun 22 12:17:43 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","72041","SDKs JWT Revoked Verification","","Sun Jun 22 12:22:03 UTC 2025","passed","Sun Jun 22 12:23:15 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46145","SDKs Anoncreds Verification","","Sun Jun 22 12:20:31 UTC 2025","passed","Sun Jun 22 12:21:17 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7803","Create connection: [label=; goalCode=; goal=]","","Sun Jun 22 12:12:12 UTC 2025","passed","Sun Jun 22 12:12:20 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45063","SDK provides right proof","","Sun Jun 22 12:23:15 UTC 2025","passed","Sun Jun 22 12:24:00 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45471","SDKs JWT Verification","","Sun Jun 22 12:21:17 UTC 2025","passed","Sun Jun 22 12:22:03 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7785","Create connection: [label=alice; goalCode=null; goal=null]","","Sun Jun 22 12:12:20 UTC 2025","passed","Sun Jun 22 12:12:27 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","61179","Restored backup should be functional","","Sun Jun 22 12:11:03 UTC 2025","passed","Sun Jun 22 12:12:04 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","36081","Edge Agent with a credential should provide proof to Cloud Agent","","Sun Jun 22 12:14:05 UTC 2025","passed","Sun Jun 22 12:14:41 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","45056","Receive multiple verifiable credentials sequentially","","Sun Jun 22 12:18:37 UTC 2025","passed","Sun Jun 22 12:19:23 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","37875","Edge Agent with a credential should provide proof to Cloud Agent","","Sun Jun 22 12:12:51 UTC 2025","passed","Sun Jun 22 12:13:29 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","1199","Create and restore a backup","","Sun Jun 22 12:11:01 UTC 2025","passed","Sun Jun 22 12:11:02 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7773","Create connection: [label=null; goalCode=null; goal=automation description]","","Sun Jun 22 12:12:35 UTC 2025","passed","Sun Jun 22 12:12:43 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","26890","Receive one verifiable credential","","Sun Jun 22 12:18:11 UTC 2025","passed","Sun Jun 22 12:18:37 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27145","Receive one verifiable credential","","Sun Jun 22 12:16:04 UTC 2025","passed","Sun Jun 22 12:16:31 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","481","Agent without a seed should not be able to restore the backup","","Sun Jun 22 12:11:02 UTC 2025","passed","Sun Jun 22 12:11:03 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","36328","Respond to a present request with a wrong credential","","Sun Jun 22 12:13:29 UTC 2025","passed","Sun Jun 22 12:14:05 UTC 2025","","sdk-ts","",""
