"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to create a connection to Cloud Agent","8225","Create connection: [label=null; goalCode=null; goal=null]","","Fri Jun 20 19:25:25 UTC 2025","passed","Fri Jun 20 19:25:34 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","47814","SDKs Anoncreds Verification","","Fri Jun 20 19:33:50 UTC 2025","passed","Fri Jun 20 19:34:37 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","58382","Revoke one verifiable credential","","Fri Jun 20 19:32:51 UTC 2025","passed","Fri Jun 20 19:33:50 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27982","Receive one verifiable credential","","Fri Jun 20 19:28:41 UTC 2025","passed","Fri Jun 20 19:29:09 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8242","Create connection: [label=null; goalCode=automation; goal=null]","","Fri Jun 20 19:25:09 UTC 2025","passed","Fri Jun 20 19:25:17 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27435","Receive one verifiable credential","","Fri Jun 20 19:30:51 UTC 2025","passed","Fri Jun 20 19:31:19 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","72549","SDKs JWT Revoked Verification","","Fri Jun 20 19:35:24 UTC 2025","passed","Fri Jun 20 19:36:36 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","37165","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Fri Jun 20 19:27:36 UTC 2025","passed","Fri Jun 20 19:28:13 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","45608","Receive multiple verifiable credentials sequentially","","Fri Jun 20 19:31:37 UTC 2025","passed","Fri Jun 20 19:32:23 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","662","Agent without a seed should not be able to restore the backup","","Fri Jun 20 19:23:41 UTC 2025","passed","Fri Jun 20 19:23:41 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8282","Create connection: [label=null; goalCode=null; goal=automation description]","","Fri Jun 20 19:25:17 UTC 2025","passed","Fri Jun 20 19:25:25 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8221","Create connection: [label=alice; goalCode=null; goal=null]","","Fri Jun 20 19:25:01 UTC 2025","passed","Fri Jun 20 19:25:09 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8477","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Fri Jun 20 19:24:44 UTC 2025","passed","Fri Jun 20 19:24:52 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45860","SDK provides right proof","","Fri Jun 20 19:36:36 UTC 2025","passed","Fri Jun 20 19:37:22 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45848","Wrong SD+JWT presentation","","Fri Jun 20 19:37:22 UTC 2025","passed","Fri Jun 20 19:38:08 UTC 2025","","sdk-ts","",""
