"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should provide proof to Cloud Agent","36363","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Wed Jun 25 12:20:57 UTC 2025","passed","Wed Jun 25 12:21:33 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","46742","Revoke one verifiable credential","","Wed Jun 25 12:25:28 UTC 2025","passed","Wed Jun 25 12:26:15 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45303","SDKs Anoncreds Verification","","Wed Jun 25 12:26:15 UTC 2025","passed","Wed Jun 25 12:27:00 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7827","Create connection: [label=null; goalCode=null; goal=automation description]","","Wed Jun 25 12:18:46 UTC 2025","passed","Wed Jun 25 12:18:53 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","27358","Receive one anonymous credential","","Wed Jun 25 12:21:33 UTC 2025","passed","Wed Jun 25 12:22:01 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27063","Receive one verifiable credential","","Wed Jun 25 12:23:49 UTC 2025","passed","Wed Jun 25 12:24:16 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7759","Create connection: [label=null; goalCode=automation; goal=null]","","Wed Jun 25 12:18:38 UTC 2025","passed","Wed Jun 25 12:18:46 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","61456","Restored backup should be functional","","Wed Jun 25 12:17:13 UTC 2025","passed","Wed Jun 25 12:18:14 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","36326","Receive multiple verifiable credentials at once","","Wed Jun 25 12:23:12 UTC 2025","passed","Wed Jun 25 12:23:49 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","75974","SDKs JWT Revoked Verification","","Wed Jun 25 12:27:46 UTC 2025","passed","Wed Jun 25 12:29:02 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7869","Create connection: [label=alice; goalCode=null; goal=null]","","Wed Jun 25 12:18:30 UTC 2025","passed","Wed Jun 25 12:18:38 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","1245","Create and restore a backup","","Wed Jun 25 12:17:11 UTC 2025","passed","Wed Jun 25 12:17:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45057","Wrong SD+JWT presentation","","Wed Jun 25 12:29:46 UTC 2025","passed","Wed Jun 25 12:30:32 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7950","Create connection: [label=; goalCode=; goal=]","","Wed Jun 25 12:18:22 UTC 2025","passed","Wed Jun 25 12:18:30 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","36353","Respond to a present request with a wrong credential","","Wed Jun 25 12:19:44 UTC 2025","passed","Wed Jun 25 12:20:20 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45246","SDKs JWT Verification","","Wed Jun 25 12:27:00 UTC 2025","passed","Wed Jun 25 12:27:46 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","44605","Receive multiple verifiable credentials sequentially","","Wed Jun 25 12:22:28 UTC 2025","passed","Wed Jun 25 12:23:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","36474","Edge Agent with a credential should provide proof to Cloud Agent","","Wed Jun 25 12:20:20 UTC 2025","passed","Wed Jun 25 12:20:57 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27110","Receive one verifiable credential","","Wed Jun 25 12:22:01 UTC 2025","passed","Wed Jun 25 12:22:28 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","44867","SDK provides right proof","","Wed Jun 25 12:29:02 UTC 2025","passed","Wed Jun 25 12:29:46 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","470","Agent without a seed should not be able to restore the backup","","Wed Jun 25 12:17:12 UTC 2025","passed","Wed Jun 25 12:17:13 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7740","Create connection: [label=null; goalCode=null; goal=null]","","Wed Jun 25 12:18:53 UTC 2025","passed","Wed Jun 25 12:19:01 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27786","Receive multiple verifiable credentials at once","","Wed Jun 25 12:25:01 UTC 2025","passed","Wed Jun 25 12:25:28 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","44706","Receive multiple verifiable credentials sequentially","","Wed Jun 25 12:24:16 UTC 2025","passed","Wed Jun 25 12:25:01 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","7941","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Wed Jun 25 12:18:14 UTC 2025","passed","Wed Jun 25 12:18:22 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","43019","Edge Agent with a credential should provide proof to Cloud Agent","","Wed Jun 25 12:19:01 UTC 2025","passed","Wed Jun 25 12:19:44 UTC 2025","","sdk-ts","",""
