"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to create and restore a backup","281","Create and restore a backup","","Sat Jun 28 21:09:24 UTC 2025","broken","Sat Jun 28 21:09:24 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","533","Create connection: [label=null; goalCode=null; goal=null]","","Sat Jun 28 21:09:28 UTC 2025","broken","Sat Jun 28 21:09:28 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","569","Receive one verifiable credential","","Sat Jun 28 21:09:33 UTC 2025","broken","Sat Jun 28 21:09:33 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","488","Revoked credential should fail verification","","Sat Jun 28 21:09:36 UTC 2025","broken","Sat Jun 28 21:09:37 UTC 2025","","","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","470","Revoke one verifiable credential","","Sat Jun 28 21:09:34 UTC 2025","broken","Sat Jun 28 21:09:34 UTC 2025","","","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","639","Receive one anonymous credential","","Sat Jun 28 21:09:31 UTC 2025","broken","Sat Jun 28 21:09:31 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","489","Should succeed","","Sat Jun 28 21:09:35 UTC 2025","broken","Sat Jun 28 21:09:35 UTC 2025","","","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","484","Respond to a present request with a wrong credential","","Sat Jun 28 21:09:29 UTC 2025","broken","Sat Jun 28 21:09:29 UTC 2025","","","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","646","Respond to request proof","","Sat Jun 28 21:09:30 UTC 2025","broken","Sat Jun 28 21:09:31 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","547","Create connection: [label=; goalCode=; goal=]","","Sat Jun 28 21:09:26 UTC 2025","broken","Sat Jun 28 21:09:26 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","466","SDKs JWT Verification","","Sat Jun 28 21:09:37 UTC 2025","broken","Sat Jun 28 21:09:37 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","760","Agent without a seed should not be able to restore the backup","","Sat Jun 28 21:09:22 UTC 2025","broken","Sat Jun 28 21:09:22 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","722","Restored backup should be functional","","Sat Jun 28 21:09:24 UTC 2025","broken","Sat Jun 28 21:09:25 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","653","Receive multiple verifiable credentials sequentially","","Sat Jun 28 21:09:32 UTC 2025","broken","Sat Jun 28 21:09:33 UTC 2025","","","",""
"The Edge Agent should provide jwt proof to Cloud Agent","564","Respond to request proof","","Sat Jun 28 21:09:30 UTC 2025","broken","Sat Jun 28 21:09:30 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","614","Receive multiple verifiable credentials at once","","Sat Jun 28 21:09:31 UTC 2025","broken","Sat Jun 28 21:09:32 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","562","Create connection: [label=null; goalCode=automation; goal=null]","","Sat Jun 28 21:09:27 UTC 2025","broken","Sat Jun 28 21:09:27 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","485","Create connection: [label=null; goalCode=null; goal=automation description]","","Sat Jun 28 21:09:27 UTC 2025","broken","Sat Jun 28 21:09:28 UTC 2025","","","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","541","Respond to anonymous request proof","","Sat Jun 28 21:09:29 UTC 2025","broken","Sat Jun 28 21:09:30 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","646","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Sat Jun 28 21:09:25 UTC 2025","broken","Sat Jun 28 21:09:26 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","489","Receive one sd+jwt credential","","Sat Jun 28 21:09:33 UTC 2025","broken","Sat Jun 28 21:09:34 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","593","Should fail for unsatisfied predicate","","Sat Jun 28 21:09:34 UTC 2025","broken","Sat Jun 28 21:09:35 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","630","Active credential should pass verification","","Sat Jun 28 21:09:35 UTC 2025","broken","Sat Jun 28 21:09:36 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","569","Create connection: [label=alice; goalCode=null; goal=null]","","Sat Jun 28 21:09:26 UTC 2025","broken","Sat Jun 28 21:09:27 UTC 2025","","","",""
