"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should provide sdjwt proof to Cloud Agent","1","Respond to request proof","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9146","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Thu Jun 05 13:26:45 UTC 2025","passed","Thu Jun 05 13:26:55 UTC 2025","","sdk-swift","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","1","Revoke one verifiable credential","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9182","Create connection: [label=null; goalCode=null; goal=automation description]","","Thu Jun 05 13:27:22 UTC 2025","passed","Thu Jun 05 13:27:31 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","1","Should succeed","","Thu Jun 05 13:27:52 UTC 2025","broken","Thu Jun 05 13:27:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","2","Respond to anonymous request proof","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","962","Agent without a seed should not be able to restore the backup","","Thu Jun 05 13:25:54 UTC 2025","passed","Thu Jun 05 13:25:55 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","1","Receive one anonymous credential","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","1","Receive multiple verifiable credentials sequentially","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","628","Create and restore a backup","","Thu Jun 05 13:25:55 UTC 2025","passed","Thu Jun 05 13:25:56 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","1","Should fail for unsatisfied predicate","","Thu Jun 05 13:27:52 UTC 2025","broken","Thu Jun 05 13:27:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9023","Create connection: [label=null; goalCode=automation; goal=null]","","Thu Jun 05 13:27:13 UTC 2025","passed","Thu Jun 05 13:27:22 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","1","Receive one verifiable credential","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","1","Receive multiple verifiable credentials at once","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","45254","Restored backup should be functional","","Thu Jun 05 13:26:00 UTC 2025","passed","Thu Jun 05 13:26:45 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","8996","Create connection: [label=alice; goalCode=null; goal=null]","","Thu Jun 05 13:27:04 UTC 2025","passed","Thu Jun 05 13:27:13 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","2","Revoked credential should fail verification","","Thu Jun 05 13:27:52 UTC 2025","broken","Thu Jun 05 13:27:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","4","Active credential should pass verification","","Thu Jun 05 13:27:52 UTC 2025","broken","Thu Jun 05 13:27:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide jwt proof to Cloud Agent","1","Respond to request proof","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9088","Create connection: [label=; goalCode=; goal=]","","Thu Jun 05 13:26:55 UTC 2025","passed","Thu Jun 05 13:27:04 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","1","Receive one sd+jwt credential","","Thu Jun 05 13:27:51 UTC 2025","broken","Thu Jun 05 13:27:51 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","2","SDKs JWT Verification","","Thu Jun 05 13:27:52 UTC 2025","broken","Thu Jun 05 13:27:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","9126","Respond to a present request with a wrong credential","","Thu Jun 05 13:27:40 UTC 2025","broken","Thu Jun 05 13:27:49 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9116","Create connection: [label=null; goalCode=null; goal=null]","","Thu Jun 05 13:27:31 UTC 2025","passed","Thu Jun 05 13:27:40 UTC 2025","","sdk-swift","",""
