"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","sdk-swift","0","Provide sdjwt proof","0","0","","0"
"0","sdk-swift","0","Create connection","6","0","","0"
"1","sdk-swift","0","Revoke JWT Credential","0","0","","0"
"2","sdk-swift","0","Verify Anoncred presentation","0","0","","0"
"2","sdk-swift","0","Provide anonymous proof","0","0","","0"
"0","sdk-swift","0","Backup","3","0","","0"
"1","sdk-swift","0","Receive anonymous credential","0","0","","0"
"4","sdk-swift","0","Receive verifiable credential","0","0","","0"
"2","sdk-swift","0","Verify JWT presentation","0","0","","0"
"1","sdk-swift","0","Provide jwt proof","0","0","","0"
"1","sdk-swift","0","Verify SD+JWT presentation","0","0","","0"
