"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26232","Receive one verifiable credential","","Fri Jun 06 13:39:26 UTC 2025","passed","Fri Jun 06 13:39:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","36218","Respond to anonymous request proof","","Fri Jun 06 13:36:17 UTC 2025","passed","Fri Jun 06 13:36:53 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","35461","Respond to request proof","","Fri Jun 06 13:37:28 UTC 2025","passed","Fri Jun 06 13:38:03 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9299","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Fri Jun 06 13:34:46 UTC 2025","passed","Fri Jun 06 13:34:55 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","26556","Receive one anonymous credential","","Fri Jun 06 13:38:03 UTC 2025","passed","Fri Jun 06 13:38:30 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","38139","SDKs JWT Verification","","Fri Jun 06 13:43:41 UTC 2025","passed","Fri Jun 06 13:44:19 UTC 2025","","sdk-swift","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","43417","Revoke one verifiable credential","","Fri Jun 06 13:40:18 UTC 2025","passed","Fri Jun 06 13:41:02 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9378","Create connection: [label=null; goalCode=null; goal=null]","","Fri Jun 06 13:35:33 UTC 2025","passed","Fri Jun 06 13:35:42 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","34790","Respond to a present request with a wrong credential","","Fri Jun 06 13:35:42 UTC 2025","passed","Fri Jun 06 13:36:17 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","46145","Restored backup should be functional","","Fri Jun 06 13:34:00 UTC 2025","passed","Fri Jun 06 13:34:46 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide jwt proof to Cloud Agent","34967","Respond to request proof","","Fri Jun 06 13:36:53 UTC 2025","passed","Fri Jun 06 13:37:28 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","38504","Should succeed","","Fri Jun 06 13:41:37 UTC 2025","passed","Fri Jun 06 13:42:15 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","9522","Receive multiple verifiable credentials at once","","Fri Jun 06 13:38:30 UTC 2025","broken","Fri Jun 06 13:38:39 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","35029","Should fail for unsatisfied predicate","","Fri Jun 06 13:41:02 UTC 2025","passed","Fri Jun 06 13:41:37 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9400","Create connection: [label=null; goalCode=null; goal=automation description]","","Fri Jun 06 13:35:23 UTC 2025","passed","Fri Jun 06 13:35:33 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9388","Create connection: [label=null; goalCode=automation; goal=null]","","Fri Jun 06 13:35:14 UTC 2025","passed","Fri Jun 06 13:35:23 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26254","Receive one sd+jwt credential","","Fri Jun 06 13:39:52 UTC 2025","passed","Fri Jun 06 13:40:18 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","38496","Active credential should pass verification","","Fri Jun 06 13:42:15 UTC 2025","passed","Fri Jun 06 13:42:54 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","720","Create and restore a backup","","Fri Jun 06 13:33:55 UTC 2025","passed","Fri Jun 06 13:33:55 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9327","Create connection: [label=alice; goalCode=null; goal=null]","","Fri Jun 06 13:35:04 UTC 2025","passed","Fri Jun 06 13:35:14 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46776","Revoked credential should fail verification","","Fri Jun 06 13:42:54 UTC 2025","passed","Fri Jun 06 13:43:41 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9298","Create connection: [label=; goalCode=; goal=]","","Fri Jun 06 13:34:55 UTC 2025","passed","Fri Jun 06 13:35:04 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","1382","Agent without a seed should not be able to restore the backup","","Fri Jun 06 13:33:53 UTC 2025","passed","Fri Jun 06 13:33:55 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","43725","Receive multiple verifiable credentials sequentially","","Fri Jun 06 13:38:42 UTC 2025","passed","Fri Jun 06 13:39:26 UTC 2025","","sdk-swift","",""
