"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to create a connection to Cloud Agent","8250","Create connection: [label=null; goalCode=null; goal=null]","","Wed Jun 25 14:53:39 UTC 2025","passed","Wed Jun 25 14:53:47 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","45417","Receive multiple verifiable credentials sequentially","","Wed Jun 25 14:58:54 UTC 2025","passed","Wed Jun 25 14:59:39 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","36968","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Wed Jun 25 14:55:40 UTC 2025","passed","Wed Jun 25 14:56:17 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","37088","Respond to a present request with a wrong credential","","Wed Jun 25 14:54:26 UTC 2025","passed","Wed Jun 25 14:55:03 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8384","Create connection: [label=; goalCode=; goal=]","","Wed Jun 25 14:53:06 UTC 2025","passed","Wed Jun 25 14:53:14 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27238","Receive one verifiable credential","","Wed Jun 25 14:56:45 UTC 2025","passed","Wed Jun 25 14:57:13 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","62708","Restored backup should be functional","","Wed Jun 25 14:51:55 UTC 2025","passed","Wed Jun 25 14:52:57 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","1411","Create and restore a backup","","Wed Jun 25 14:51:53 UTC 2025","passed","Wed Jun 25 14:51:54 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8234","Create connection: [label=null; goalCode=null; goal=automation description]","","Wed Jun 25 14:53:31 UTC 2025","passed","Wed Jun 25 14:53:39 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8627","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Wed Jun 25 14:52:57 UTC 2025","passed","Wed Jun 25 14:53:06 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46064","Wrong SD+JWT presentation","","Wed Jun 25 15:04:19 UTC 2025","passed","Wed Jun 25 15:05:05 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","526","Agent without a seed should not be able to restore the backup","","Wed Jun 25 14:51:54 UTC 2025","passed","Wed Jun 25 14:51:55 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","41918","Revoke one verifiable credential","","Wed Jun 25 15:00:07 UTC 2025","passed","Wed Jun 25 15:00:49 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8274","Create connection: [label=null; goalCode=automation; goal=null]","","Wed Jun 25 14:53:23 UTC 2025","passed","Wed Jun 25 14:53:31 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","28197","Receive multiple verifiable credentials at once","","Wed Jun 25 14:57:58 UTC 2025","passed","Wed Jun 25 14:58:26 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","45429","Receive multiple verifiable credentials sequentially","","Wed Jun 25 14:57:13 UTC 2025","passed","Wed Jun 25 14:57:58 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46068","SDKs Anoncreds Verification","","Wed Jun 25 15:00:49 UTC 2025","passed","Wed Jun 25 15:01:35 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46476","SDKs JWT Verification","","Wed Jun 25 15:01:35 UTC 2025","passed","Wed Jun 25 15:02:21 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","28364","Receive one anonymous credential","","Wed Jun 25 14:56:17 UTC 2025","passed","Wed Jun 25 14:56:45 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27907","Receive multiple verifiable credentials at once","","Wed Jun 25 14:59:39 UTC 2025","passed","Wed Jun 25 15:00:07 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","36923","Edge Agent with a credential should provide proof to Cloud Agent","","Wed Jun 25 14:55:03 UTC 2025","passed","Wed Jun 25 14:55:40 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","38480","Edge Agent with a credential should provide proof to Cloud Agent","","Wed Jun 25 14:53:47 UTC 2025","passed","Wed Jun 25 14:54:26 UTC 2025","","sdk-ts","",""
