"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","606","Receive multiple verifiable credentials sequentially","","Sat Jun 21 21:09:00 UTC 2025","broken","Sat Jun 21 21:09:01 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","63976","Restored backup should be functional","","Sat Jun 21 21:10:53 UTC 2025","passed","Sat Jun 21 21:11:57 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","599","Receive multiple verifiable credentials at once","","Sat Jun 21 21:09:00 UTC 2025","broken","Sat Jun 21 21:09:00 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","630","Agent without a seed should not be able to restore the backup","","Sat Jun 21 21:10:53 UTC 2025","passed","Sat Jun 21 21:10:53 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","65752","Revoke one verifiable credential","","Sat Jun 21 21:19:21 UTC 2025","passed","Sat Jun 21 21:20:26 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8156","Create connection: [label=null; goalCode=automation; goal=null]","","Sat Jun 21 21:12:22 UTC 2025","passed","Sat Jun 21 21:12:30 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","570","Restored backup should be functional","","Sat Jun 21 21:08:52 UTC 2025","broken","Sat Jun 21 21:08:53 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","782","Agent without a seed should not be able to restore the backup","","Sat Jun 21 21:08:49 UTC 2025","broken","Sat Jun 21 21:08:50 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8187","Create connection: [label=alice; goalCode=null; goal=null]","","Sat Jun 21 21:12:14 UTC 2025","passed","Sat Jun 21 21:12:22 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","614","Receive one anonymous credential","","Sat Jun 21 21:08:59 UTC 2025","broken","Sat Jun 21 21:09:00 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","613","Receive one sd+jwt credential","","Sat Jun 21 21:09:01 UTC 2025","broken","Sat Jun 21 21:09:02 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","593","Should fail for unsatisfied predicate","","Sat Jun 21 21:09:03 UTC 2025","broken","Sat Jun 21 21:09:03 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","594","Revoked credential should fail verification","","Sat Jun 21 21:09:04 UTC 2025","broken","Sat Jun 21 21:09:05 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","28718","Receive multiple verifiable credentials at once","","Sat Jun 21 21:17:08 UTC 2025","passed","Sat Jun 21 21:17:37 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","47146","SDK provides right proof","","Sat Jun 21 21:23:12 UTC 2025","passed","Sat Jun 21 21:24:00 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","603","Respond to anonymous request proof","","Sat Jun 21 21:08:57 UTC 2025","broken","Sat Jun 21 21:08:58 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8220","Create connection: [label=; goalCode=; goal=]","","Sat Jun 21 21:12:06 UTC 2025","passed","Sat Jun 21 21:12:14 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","579","Create connection: [label=null; goalCode=automation; goal=null]","","Sat Jun 21 21:08:55 UTC 2025","broken","Sat Jun 21 21:08:55 UTC 2025","","","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","46653","Receive multiple verifiable credentials sequentially","","Sat Jun 21 21:18:05 UTC 2025","passed","Sat Jun 21 21:18:52 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","28734","Receive multiple verifiable credentials at once","","Sat Jun 21 21:18:52 UTC 2025","passed","Sat Jun 21 21:19:21 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","38338","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Sat Jun 21 21:14:45 UTC 2025","passed","Sat Jun 21 21:15:23 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","40588","Edge Agent with a credential should provide proof to Cloud Agent","","Sat Jun 21 21:12:47 UTC 2025","passed","Sat Jun 21 21:13:27 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","611","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Sat Jun 21 21:08:53 UTC 2025","broken","Sat Jun 21 21:08:53 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","1552","Create and restore a backup","","Sat Jun 21 21:10:51 UTC 2025","passed","Sat Jun 21 21:10:53 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","39071","Respond to a present request with a wrong credential","","Sat Jun 21 21:13:27 UTC 2025","passed","Sat Jun 21 21:14:06 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","588","SDKs JWT Verification","","Sat Jun 21 21:09:05 UTC 2025","broken","Sat Jun 21 21:09:06 UTC 2025","","","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","28704","Receive one verifiable credential","","Sat Jun 21 21:17:37 UTC 2025","passed","Sat Jun 21 21:18:05 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","391","Create and restore a backup","","Sat Jun 21 21:08:52 UTC 2025","broken","Sat Jun 21 21:08:52 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","46735","Receive multiple verifiable credentials sequentially","","Sat Jun 21 21:16:21 UTC 2025","passed","Sat Jun 21 21:17:08 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","610","Create connection: [label=; goalCode=; goal=]","","Sat Jun 21 21:08:53 UTC 2025","broken","Sat Jun 21 21:08:54 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","28738","Receive one verifiable credential","","Sat Jun 21 21:15:52 UTC 2025","passed","Sat Jun 21 21:16:21 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","617","Respond to request proof","","Sat Jun 21 21:08:58 UTC 2025","broken","Sat Jun 21 21:08:59 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","47174","Wrong SD+JWT presentation","","Sat Jun 21 21:24:00 UTC 2025","passed","Sat Jun 21 21:24:47 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","613","Create connection: [label=null; goalCode=null; goal=automation description]","","Sat Jun 21 21:08:55 UTC 2025","broken","Sat Jun 21 21:08:56 UTC 2025","","","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","590","Revoke one verifiable credential","","Sat Jun 21 21:09:02 UTC 2025","broken","Sat Jun 21 21:09:03 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8193","Create connection: [label=null; goalCode=null; goal=null]","","Sat Jun 21 21:12:39 UTC 2025","passed","Sat Jun 21 21:12:47 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","575","Create connection: [label=alice; goalCode=null; goal=null]","","Sat Jun 21 21:08:54 UTC 2025","broken","Sat Jun 21 21:08:55 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","603","Create connection: [label=null; goalCode=null; goal=null]","","Sat Jun 21 21:08:56 UTC 2025","broken","Sat Jun 21 21:08:56 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8157","Create connection: [label=null; goalCode=null; goal=automation description]","","Sat Jun 21 21:12:30 UTC 2025","passed","Sat Jun 21 21:12:39 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","589","Active credential should pass verification","","Sat Jun 21 21:09:04 UTC 2025","broken","Sat Jun 21 21:09:04 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","608","Receive one verifiable credential","","Sat Jun 21 21:09:01 UTC 2025","broken","Sat Jun 21 21:09:01 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","594","Should succeed","","Sat Jun 21 21:09:03 UTC 2025","broken","Sat Jun 21 21:09:04 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","48009","SDKs JWT Verification","","Sat Jun 21 21:21:15 UTC 2025","passed","Sat Jun 21 21:22:03 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8545","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Sat Jun 21 21:11:57 UTC 2025","passed","Sat Jun 21 21:12:06 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","68925","SDKs JWT Revoked Verification","","Sat Jun 21 21:22:03 UTC 2025","passed","Sat Jun 21 21:23:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","29227","Receive one anonymous credential","","Sat Jun 21 21:15:23 UTC 2025","passed","Sat Jun 21 21:15:52 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","597","Respond to a present request with a wrong credential","","Sat Jun 21 21:08:56 UTC 2025","broken","Sat Jun 21 21:08:57 UTC 2025","","","",""
"The Edge Agent should provide proof to Cloud Agent","38398","Edge Agent with a credential should provide proof to Cloud Agent","","Sat Jun 21 21:14:06 UTC 2025","passed","Sat Jun 21 21:14:45 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","49076","SDKs Anoncreds Verification","","Sat Jun 21 21:20:26 UTC 2025","passed","Sat Jun 21 21:21:15 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide jwt proof to Cloud Agent","595","Respond to request proof","","Sat Jun 21 21:08:58 UTC 2025","broken","Sat Jun 21 21:08:58 UTC 2025","","","",""
