"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","870","Active credential should pass verification","","Sat Jun 14 21:09:57 UTC 2025","broken","Sat Jun 14 21:09:58 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","669","Create connection: [label=alice; goalCode=null; goal=null]","","Sat Jun 14 21:09:46 UTC 2025","broken","Sat Jun 14 21:09:47 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","681","Receive multiple verifiable credentials at once","","Sat Jun 14 21:09:53 UTC 2025","broken","Sat Jun 14 21:09:53 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","497","Should succeed","","Sat Jun 14 21:09:57 UTC 2025","broken","Sat Jun 14 21:09:57 UTC 2025","","","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","706","Respond to anonymous request proof","","Sat Jun 14 21:09:50 UTC 2025","broken","Sat Jun 14 21:09:51 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","655","Should fail for unsatisfied predicate","","Sat Jun 14 21:09:56 UTC 2025","broken","Sat Jun 14 21:09:57 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","727","Revoked credential should fail verification","","Sat Jun 14 21:09:58 UTC 2025","broken","Sat Jun 14 21:09:59 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","569","Create and restore a backup","","Sat Jun 14 21:09:44 UTC 2025","broken","Sat Jun 14 21:09:44 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","765","Create connection: [label=null; goalCode=null; goal=null]","","Sat Jun 14 21:09:48 UTC 2025","broken","Sat Jun 14 21:09:49 UTC 2025","","","",""
"The Edge Agent should provide jwt proof to Cloud Agent","668","Respond to request proof","","Sat Jun 14 21:09:51 UTC 2025","broken","Sat Jun 14 21:09:51 UTC 2025","","","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","644","Revoke one verifiable credential","","Sat Jun 14 21:09:56 UTC 2025","broken","Sat Jun 14 21:09:56 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","675","Create connection: [label=; goalCode=; goal=]","","Sat Jun 14 21:09:46 UTC 2025","broken","Sat Jun 14 21:09:46 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","910","Receive one sd+jwt credential","","Sat Jun 14 21:09:55 UTC 2025","broken","Sat Jun 14 21:09:56 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","1553","Agent without a seed should not be able to restore the backup","","Sat Jun 14 21:09:40 UTC 2025","broken","Sat Jun 14 21:09:42 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","753","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Sat Jun 14 21:09:45 UTC 2025","broken","Sat Jun 14 21:09:46 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","525","Create connection: [label=null; goalCode=automation; goal=null]","","Sat Jun 14 21:09:47 UTC 2025","broken","Sat Jun 14 21:09:47 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","671","SDKs JWT Verification","","Sat Jun 14 21:09:59 UTC 2025","broken","Sat Jun 14 21:10:00 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","663","Receive one verifiable credential","","Sat Jun 14 21:09:54 UTC 2025","broken","Sat Jun 14 21:09:55 UTC 2025","","","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","917","Receive one anonymous credential","","Sat Jun 14 21:09:52 UTC 2025","broken","Sat Jun 14 21:09:53 UTC 2025","","","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","707","Create connection: [label=null; goalCode=null; goal=automation description]","","Sat Jun 14 21:09:47 UTC 2025","broken","Sat Jun 14 21:09:48 UTC 2025","","","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","498","Receive multiple verifiable credentials sequentially","","Sat Jun 14 21:09:53 UTC 2025","broken","Sat Jun 14 21:09:54 UTC 2025","","","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","828","Respond to a present request with a wrong credential","","Sat Jun 14 21:09:49 UTC 2025","broken","Sat Jun 14 21:09:50 UTC 2025","","","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","660","Respond to request proof","","Sat Jun 14 21:09:51 UTC 2025","broken","Sat Jun 14 21:09:52 UTC 2025","","","",""
"The Edge Agent should be able to create and restore a backup","732","Restored backup should be functional","","Sat Jun 14 21:09:44 UTC 2025","broken","Sat Jun 14 21:09:45 UTC 2025","","","",""
