"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to create a connection to Cloud Agent","7763","Create connection: [label=null; goalCode=null; goal=null]","","Fri May 16 09:17:51 UTC 2025","passed","Fri May 16 09:17:58 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","61471","Restored backup should be functional","","Fri May 16 09:16:10 UTC 2025","passed","Fri May 16 09:17:11 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45357","SDKs JWT Verification","","Fri May 16 09:25:56 UTC 2025","passed","Fri May 16 09:26:42 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","1463","Create and restore a backup","","Fri May 16 09:16:08 UTC 2025","passed","Fri May 16 09:16:09 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27185","Receive one verifiable credential","","Fri May 16 09:20:54 UTC 2025","passed","Fri May 16 09:21:21 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","57326","Revoke one verifiable credential","","Fri May 16 09:24:14 UTC 2025","passed","Fri May 16 09:25:11 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","72752","SDKs JWT Revoked Verification","","Fri May 16 09:26:42 UTC 2025","passed","Fri May 16 09:27:55 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","36668","Respond to a present request with a wrong credential","","Fri May 16 09:18:37 UTC 2025","passed","Fri May 16 09:19:14 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27668","Receive multiple verifiable credentials at once","","Fri May 16 09:23:46 UTC 2025","passed","Fri May 16 09:24:14 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","45636","Wrong SD+JWT presentation","","Fri May 16 09:28:40 UTC 2025","passed","Fri May 16 09:29:26 UTC 2025","","sdk-ts","",""
