"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should provide anoncred proof to Cloud Agent","37141","Respond to a present request with a wrong credential","","Mon May 12 13:47:23 UTC 2025","passed","Mon May 12 13:48:00 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8268","Create connection: [label=null; goalCode=null; goal=null]","","Mon May 12 13:46:36 UTC 2025","passed","Mon May 12 13:46:44 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","37336","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Mon May 12 13:48:37 UTC 2025","passed","Mon May 12 13:49:15 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46064","Wrong SD+JWT presentation","","Mon May 12 13:57:19 UTC 2025","passed","Mon May 12 13:58:05 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","42020","Revoke one verifiable credential","","Mon May 12 13:53:05 UTC 2025","passed","Mon May 12 13:53:47 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8290","Create connection: [label=null; goalCode=null; goal=automation description]","","Mon May 12 13:46:27 UTC 2025","passed","Mon May 12 13:46:36 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8314","Create connection: [label=null; goalCode=automation; goal=null]","","Mon May 12 13:46:19 UTC 2025","passed","Mon May 12 13:46:27 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8273","Create connection: [label=alice; goalCode=null; goal=null]","","Mon May 12 13:46:11 UTC 2025","passed","Mon May 12 13:46:19 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27741","Receive one verifiable credential","","Mon May 12 13:49:43 UTC 2025","passed","Mon May 12 13:50:10 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","37338","Edge Agent with a credential should provide proof to Cloud Agent","","Mon May 12 13:48:00 UTC 2025","passed","Mon May 12 13:48:37 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46422","SDKs JWT Verification","","Mon May 12 13:54:35 UTC 2025","passed","Mon May 12 13:55:21 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","45733","Receive multiple verifiable credentials sequentially","","Mon May 12 13:50:10 UTC 2025","passed","Mon May 12 13:50:56 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","62258","Restored backup should be functional","","Mon May 12 13:44:52 UTC 2025","passed","Mon May 12 13:45:54 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","1764","Create and restore a backup","","Mon May 12 13:44:49 UTC 2025","passed","Mon May 12 13:44:51 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27408","Receive one verifiable credential","","Mon May 12 13:51:24 UTC 2025","passed","Mon May 12 13:51:52 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27984","Receive multiple verifiable credentials at once","","Mon May 12 13:50:56 UTC 2025","passed","Mon May 12 13:51:24 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","38728","Edge Agent with a credential should provide proof to Cloud Agent","","Mon May 12 13:46:44 UTC 2025","passed","Mon May 12 13:47:23 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","72095","SDKs JWT Revoked Verification","","Mon May 12 13:55:21 UTC 2025","passed","Mon May 12 13:56:33 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8519","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Mon May 12 13:45:54 UTC 2025","passed","Mon May 12 13:46:03 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","45469","Receive multiple verifiable credentials sequentially","","Mon May 12 13:51:52 UTC 2025","passed","Mon May 12 13:52:37 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","546","Agent without a seed should not be able to restore the backup","","Mon May 12 13:44:51 UTC 2025","passed","Mon May 12 13:44:52 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","28132","Receive one anonymous credential","","Mon May 12 13:49:15 UTC 2025","passed","Mon May 12 13:49:43 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","27904","Receive multiple verifiable credentials at once","","Mon May 12 13:52:37 UTC 2025","passed","Mon May 12 13:53:05 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46163","SDK provides right proof","","Mon May 12 13:56:33 UTC 2025","passed","Mon May 12 13:57:19 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8353","Create connection: [label=; goalCode=; goal=]","","Mon May 12 13:46:03 UTC 2025","passed","Mon May 12 13:46:11 UTC 2025","","sdk-ts","",""
