"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should provide anonymous proof to Cloud Agent","38523","Respond to anonymous request proof","","Wed Jun 11 11:34:04 UTC 2025","passed","Wed Jun 11 11:34:43 UTC 2025","","sdk-swift","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","61383","Revoke one verifiable credential","","Wed Jun 11 11:38:30 UTC 2025","passed","Wed Jun 11 11:39:31 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","73881","Revoked credential should fail verification","","Wed Jun 11 11:41:28 UTC 2025","passed","Wed Jun 11 11:42:41 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26524","Receive one sd+jwt credential","","Wed Jun 11 11:38:03 UTC 2025","passed","Wed Jun 11 11:38:30 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27130","Receive one verifiable credential","","Wed Jun 11 11:37:36 UTC 2025","passed","Wed Jun 11 11:38:03 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","39394","SDKs JWT Verification","","Wed Jun 11 11:42:41 UTC 2025","passed","Wed Jun 11 11:43:21 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","45012","Receive multiple verifiable credentials sequentially","","Wed Jun 11 11:36:51 UTC 2025","passed","Wed Jun 11 11:37:36 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","36587","Respond to request proof","","Wed Jun 11 11:35:20 UTC 2025","passed","Wed Jun 11 11:35:56 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide jwt proof to Cloud Agent","36584","Respond to request proof","","Wed Jun 11 11:34:43 UTC 2025","passed","Wed Jun 11 11:35:20 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","35973","Should fail for unsatisfied predicate","","Wed Jun 11 11:39:31 UTC 2025","passed","Wed Jun 11 11:40:07 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","39938","Should succeed","","Wed Jun 11 11:40:07 UTC 2025","passed","Wed Jun 11 11:40:47 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","27430","Receive one anonymous credential","","Wed Jun 11 11:35:56 UTC 2025","passed","Wed Jun 11 11:36:24 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","40396","Active credential should pass verification","","Wed Jun 11 11:40:47 UTC 2025","passed","Wed Jun 11 11:41:28 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","27503","Receive multiple verifiable credentials at once","","Wed Jun 11 11:36:24 UTC 2025","passed","Wed Jun 11 11:36:51 UTC 2025","","sdk-swift","",""
