"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to create a connection to Cloud Agent","8562","Create connection: [label=null; goalCode=null; goal=null]","","Wed Jun 25 12:44:59 UTC 2025","passed","Wed Jun 25 12:45:08 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","39404","Respond to a present request with a wrong credential","","Wed Jun 25 12:45:50 UTC 2025","passed","Wed Jun 25 12:46:30 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","38505","Receive multiple verifiable credentials at once","","Wed Jun 25 12:51:28 UTC 2025","passed","Wed Jun 25 12:52:06 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","48872","Wrong SD+JWT presentation","","Wed Jun 25 12:57:21 UTC 2025","passed","Wed Jun 25 12:58:10 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8498","Create connection: [label=null; goalCode=null; goal=automation description]","","Wed Jun 25 12:44:51 UTC 2025","passed","Wed Jun 25 12:44:59 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","29620","Receive one anonymous credential","","Wed Jun 25 12:47:48 UTC 2025","passed","Wed Jun 25 12:48:17 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","39089","Edge Agent with a credential should provide proof to Cloud Agent","","Wed Jun 25 12:46:30 UTC 2025","passed","Wed Jun 25 12:47:09 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide proof to Cloud Agent","38973","Edge Agent with a sdjwt credential should provide proof to Cloud Agent","","Wed Jun 25 12:47:09 UTC 2025","passed","Wed Jun 25 12:47:48 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","64250","Restored backup should be functional","","Wed Jun 25 12:43:12 UTC 2025","passed","Wed Jun 25 12:44:17 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8525","Create connection: [label=alice; goalCode=null; goal=null]","","Wed Jun 25 12:44:34 UTC 2025","passed","Wed Jun 25 12:44:42 UTC 2025","","sdk-ts","",""
"The Edge Agent should provide anoncred proof to Cloud Agent","42398","Edge Agent with a credential should provide proof to Cloud Agent","","Wed Jun 25 12:45:08 UTC 2025","passed","Wed Jun 25 12:45:50 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","47836","SDK provides right proof","","Wed Jun 25 12:56:33 UTC 2025","passed","Wed Jun 25 12:57:21 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","48575","SDKs JWT Verification","","Wed Jun 25 12:54:23 UTC 2025","broken","Wed Jun 25 12:55:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","47346","Receive multiple verifiable credentials sequentially","","Wed Jun 25 12:48:47 UTC 2025","passed","Wed Jun 25 12:49:34 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","688","Agent without a seed should not be able to restore the backup","","Wed Jun 25 12:43:12 UTC 2025","passed","Wed Jun 25 12:43:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","28687","Receive one verifiable credential","","Wed Jun 25 12:50:03 UTC 2025","passed","Wed Jun 25 12:50:32 UTC 2025","","sdk-ts","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","38408","Revoke one verifiable credential","","Wed Jun 25 12:52:06 UTC 2025","passed","Wed Jun 25 12:52:45 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8483","Create connection: [label=null; goalCode=automation; goal=null]","","Wed Jun 25 12:44:42 UTC 2025","passed","Wed Jun 25 12:44:51 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create and restore a backup","1723","Create and restore a backup","","Wed Jun 25 12:43:10 UTC 2025","passed","Wed Jun 25 12:43:12 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8516","Create connection: [label=; goalCode=; goal=]","","Wed Jun 25 12:44:25 UTC 2025","passed","Wed Jun 25 12:44:34 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a SDJWT verifiable credential from Cloud Agent","55907","Receive multiple verifiable credentials sequentially","","Wed Jun 25 12:50:32 UTC 2025","passed","Wed Jun 25 12:51:28 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","29337","Receive multiple verifiable credentials at once","","Wed Jun 25 12:49:34 UTC 2025","passed","Wed Jun 25 12:50:03 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","81197","SDKs JWT Revoked Verification","","Wed Jun 25 12:55:12 UTC 2025","passed","Wed Jun 25 12:56:33 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","29065","Receive one verifiable credential","","Wed Jun 25 12:48:17 UTC 2025","passed","Wed Jun 25 12:48:47 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","49809","SDKs Anoncreds Verification","","Wed Jun 25 12:52:45 UTC 2025","passed","Wed Jun 25 12:53:35 UTC 2025","","sdk-ts","",""
"The Edge Agent should be able to create a connection to Cloud Agent","8823","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Wed Jun 25 12:44:17 UTC 2025","passed","Wed Jun 25 12:44:25 UTC 2025","","sdk-ts","",""
