"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9094","Create connection: [label=null; goalCode=automation; goal=null]","","Fri Jun 06 13:15:35 UTC 2025","passed","Fri Jun 06 13:15:44 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9076","Create connection: [label=alice; goalCode=null; goal=null]","","Fri Jun 06 13:15:26 UTC 2025","passed","Fri Jun 06 13:15:35 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9200","Create connection: [label=null; goalCode=null; goal=automation description]","","Fri Jun 06 13:15:44 UTC 2025","passed","Fri Jun 06 13:15:53 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","37866","Active credential should pass verification","","Fri Jun 06 13:22:49 UTC 2025","passed","Fri Jun 06 13:23:26 UTC 2025","","sdk-swift","",""
"Edge Agent should be notified when Cloud Agent revokes a credential","43096","Revoke one verifiable credential","","Fri Jun 06 13:20:52 UTC 2025","passed","Fri Jun 06 13:21:35 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","35012","Respond to a present request with a wrong credential","","Fri Jun 06 13:16:02 UTC 2025","passed","Fri Jun 06 13:16:37 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26407","Receive multiple verifiable credentials at once","","Fri Jun 06 13:18:50 UTC 2025","passed","Fri Jun 06 13:19:17 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","37561","SDKs JWT Verification","","Fri Jun 06 13:24:13 UTC 2025","passed","Fri Jun 06 13:24:50 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9113","Create connection: [label=; goalCode=; goal=]","","Fri Jun 06 13:15:17 UTC 2025","passed","Fri Jun 06 13:15:26 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide sdjwt proof to Cloud Agent","35065","Respond to request proof","","Fri Jun 06 13:17:49 UTC 2025","passed","Fri Jun 06 13:18:24 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9101","Create connection: [label=alice; goalCode=automation; goal=automation description]","","Fri Jun 06 13:15:07 UTC 2025","passed","Fri Jun 06 13:15:17 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","38237","Should succeed","","Fri Jun 06 13:22:10 UTC 2025","passed","Fri Jun 06 13:22:49 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","46150","Revoked credential should fail verification","","Fri Jun 06 13:23:26 UTC 2025","passed","Fri Jun 06 13:24:13 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","1005","Agent without a seed should not be able to restore the backup","","Fri Jun 06 13:14:15 UTC 2025","passed","Fri Jun 06 13:14:16 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26126","Receive one verifiable credential","","Fri Jun 06 13:20:00 UTC 2025","passed","Fri Jun 06 13:20:26 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","46343","Restored backup should be functional","","Fri Jun 06 13:14:21 UTC 2025","passed","Fri Jun 06 13:15:07 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide anonymous proof to Cloud Agent","36072","Respond to anonymous request proof","","Fri Jun 06 13:16:37 UTC 2025","passed","Fri Jun 06 13:17:13 UTC 2025","","sdk-swift","",""
"The Edge Agent should provide jwt proof to Cloud Agent","35216","Respond to request proof","","Fri Jun 06 13:17:13 UTC 2025","passed","Fri Jun 06 13:17:49 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","43369","Receive multiple verifiable credentials sequentially","","Fri Jun 06 13:19:17 UTC 2025","passed","Fri Jun 06 13:20:00 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent and then send a presentation to another edge agent who will verify it","34840","Should fail for unsatisfied predicate","","Fri Jun 06 13:21:35 UTC 2025","passed","Fri Jun 06 13:22:10 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create a connection to Open Enterprise Agent","9113","Create connection: [label=null; goalCode=null; goal=null]","","Fri Jun 06 13:15:53 UTC 2025","passed","Fri Jun 06 13:16:02 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to create and restore a backup","517","Create and restore a backup","","Fri Jun 06 13:14:16 UTC 2025","passed","Fri Jun 06 13:14:17 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive a verifiable credential from Cloud Agent","26158","Receive one sd+jwt credential","","Fri Jun 06 13:20:26 UTC 2025","passed","Fri Jun 06 13:20:52 UTC 2025","","sdk-swift","",""
"The Edge Agent should be able to receive an anonymous credential from Cloud Agent","26615","Receive one anonymous credential","","Fri Jun 06 13:18:24 UTC 2025","passed","Fri Jun 06 13:18:50 UTC 2025","","sdk-swift","",""
